Address,Bathrooms,Category,District,Externalreference,Floor,Floor_int,Has_Lift,Has_Parking,Id,Inputs,Is_Ext,Is_New,Keeps,Latitude,Longitude,Municipality,Neighborhood,Operation,Outputs,Price,Price_Diff,Price_Diff_pc,Price_Distr,Price_Down,Price_Keep,Price_Neighb,Price_Old,Price_Up,Price_m2,Price_m2_Distr,Price_m2_Distr_Diff_pc,Price_m2_Neighb,Price_m2_Neighb_Diff_pc,Province,Rooms,Size,Size_Interval,Status,Sub_Type,Subtitle,Title,Total,Type,Url,Fecha
"FERROVIARIOS, 103",1.00,Fl55Ex1b,Usera,0,3,alt,False,False,92211501,0,True,False,1,40.381294,-3.7042263,Madrid,Almendrales,sale,0,96000.00,-3000,-3.00,90000.00,1,0,89000.00,99000.00,0,1600.00,1768.00,-9.50,1852.00,-13.60,Madrid,2.00,60.00,"(50, 60]",good,flat,"Almendrales, Madrid","Piso en FERROVIARIOS, 103",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92211501/"", ""https://www.idealista.com/inmueble/92211501/"")",2021-01-18
barrio Palomeras Bajas,1.00,Fl45Ex1b,Puente de Vallecas,03/2092,1,alt,False,False,90592529,0,True,False,1,40.3853117,-3.6559413,Madrid,Palomeras Bajas,sale,0,91900.00,0,0.00,90000.00,0,1,89000.00,91900.00,0,1876.00,1659.00,13.10,1583.00,18.50,Madrid,2.00,49.00,"(40, 50]",good,flat,"Palomeras Bajas, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90592529/"", ""https://www.idealista.com/inmueble/90592529/"")",2021-01-18
barrio Puerta del Angel,2.00,Fl45Ex2bBj,Latina,3968,bj,bj,False,False,91993433,0,True,False,1,40.4104389,-3.7332712,Madrid,Puerta del Angel,sale,0,84000.00,0,0.00,95000.00,0,1,95500.00,84000.00,0,1680.00,1907.00,-11.90,2187.00,-23.20,Madrid,1.00,50.00,"(40, 50]",good,flat,"Puerta del Angel, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91993433/"", ""https://www.idealista.com/inmueble/91993433/"")",2021-01-18
Calle de Godella,1.00,Fl75Ex1b,Villaverde,0,1,alt,False,False,91462718,0,True,False,1,40.3410272,-3.6860106999999998,Madrid,San Cristobal,sale,0,78000.00,-2000,-2.50,88750.00,1,0,84900.00,80000.00,0,1040.00,1428.00,-27.20,1286.00,-19.10,Madrid,2.00,75.00,"(70, 80]",good,flat,"San Cristobal, Madrid",Piso en Calle de Godella,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91462718/"", ""https://www.idealista.com/inmueble/91462718/"")",2021-01-18
Calle del Pico Cejo,1.00,Fl25In1bBj,Puente de Vallecas,0,bj,bj,False,False,92289594,0,False,False,1,40.398543599999996,-3.6681613,Madrid,Numancia,sale,0,67900.00,0,0.00,90000.00,0,1,92500.00,67900.00,0,2263.00,1659.00,36.40,1682.50,34.50,Madrid,1.00,30.00,"(20, 30]",good,flat,"Numancia, Madrid",Piso en Calle del Pico Cejo,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92289594/"", ""https://www.idealista.com/inmueble/92289594/"")",2021-01-18
Calle de Jose del Pino,1.00,Fl55Ex1b,Villaverde,V31-V2,3,alt,False,False,91327875,0,True,False,1,40.3509601,-3.6876068,Madrid,Los Rosales,sale,0,93000.00,-2260,-2.40,88750.00,1,0,90750.00,95260.00,0,1824.00,1428.00,27.70,1565.50,16.50,Madrid,2.00,51.00,"(50, 60]",good,flat,"Los Rosales, Madrid",Piso en Calle de Jose del Pino,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91327875/"", ""https://www.idealista.com/inmueble/91327875/"")",2021-01-18
Calle de Uceda,1.00,Fl65Ex1b,Puente de Vallecas,0,3,alt,False,False,91237691,1,True,False,0,40.3916991,-3.6623609999999998,Madrid,Palomeras Bajas,sale,0,98000.00,0,0.00,90000.00,0,1,89000.00,0.00,0,1581.00,1659.00,-4.70,1583.00,-0.10,Madrid,2.00,62.00,"(60, 70]",good,flat,"Palomeras Bajas, Madrid",Piso en Calle de Uceda,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91237691/"", ""https://www.idealista.com/inmueble/91237691/"")",2021-01-18
Ronda del Sur,1.00,Fl65Ex1b,Puente de Vallecas,AJ 37,2,alt,False,False,91418294,0,True,False,1,40.3798255,-3.6783221,Madrid,Entrevias,sale,0,88500.00,0,0.00,90000.00,0,1,94000.00,88500.00,0,1362.00,1659.00,-17.90,1424.00,-4.40,Madrid,3.00,65.00,"(60, 70]",good,flat,"Entrevias, Madrid",Piso en Ronda del Sur,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91418294/"", ""https://www.idealista.com/inmueble/91418294/"")",2021-01-18
barrio San Cristobal,1.00,Fl65Ex1bLf,Villaverde,0,4,alt,True,False,90776062,0,True,False,1,40.3422318,-3.6851016999999997,Madrid,San Cristobal,sale,0,80260.00,0,0.00,88750.00,0,1,84900.00,80260.00,0,1198.00,1428.00,-16.10,1286.00,-6.80,Madrid,3.00,67.00,"(60, 70]",good,flat,"San Cristobal, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90776062/"", ""https://www.idealista.com/inmueble/90776062/"")",2021-01-18
Doctor Sanchez,1.00,Fl55Ex1b,Puente de Vallecas,AJ 23,3,alt,False,False,90377590,0,True,False,1,40.3835965,-3.6683048,Madrid,San Diego,sale,0,93000.00,0,0.00,90000.00,0,1,89700.00,93000.00,0,1603.00,1659.00,-3.40,1716.00,-6.60,Madrid,3.00,58.00,"(50, 60]",good,flat,"San Diego, Madrid",Piso en Doctor Sanchez,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90377590/"", ""https://www.idealista.com/inmueble/90377590/"")",2021-01-18
