Titulo,Segmento,Etiqueta,Periodo,Anyo,Valor,Unidad,Escala,Importe de hipotecas,Numero de hipotecas,Importe Medio
Compraventa,Total,General,M08,2015,4339,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2015,4603,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2015,4574,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2015,3956,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2015,4134,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2015,4116,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2015,5114,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2015,5477,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2014,3475,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2014,3106,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2014,3621,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2014,3581,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2014,3188,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2014,4000,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2014,3849,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2014,3401,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2014,3358,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2014,3998,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2014,3765,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2014,5146,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2013,4788,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2013,2551,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2013,2637,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2013,2532,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2013,2627,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2013,3288,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2013,2906,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2013,3633,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2013,2991,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2013,3259,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2013,5424,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2013,4742,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2012,3007,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2012,3274,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2012,2943,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2012,3649,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2012,3336,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2012,3418,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2012,3426,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2012,3159,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2012,2660,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2012,3369,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2012,4272,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2012,4515,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2011,3425,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2011,3065,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2011,2868,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2011,3478,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2011,3380,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2011,3700,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2011,4314,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2011,4357,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2011,3004,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2011,4733,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2011,7108,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2011,5772,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2010,4667,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2010,3826,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2010,3393,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2010,5620,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2010,5696,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2010,5929,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2010,4931,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2010,5192,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2010,4460,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2010,5207,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2010,6888,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2010,4869,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2009,4666,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2009,4797,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2009,4346,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2009,5136,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2009,3732,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2009,5009,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2009,4170,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2009,4071,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2009,3440,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2009,3965,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2009,4325,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2009,4067,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2008,3621,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2008,3648,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2008,4033,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2008,4886,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2008,4337,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2008,5150,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2008,5687,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2008,4958,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2008,5802,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2008,5583,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2008,5724,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2008,5865,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M12,2007,4577,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M11,2007,6058,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M10,2007,6347,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M09,2007,7528,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M08,2007,6590,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M07,2007,7309,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M06,2007,7504,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M05,2007,7678,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M04,2007,6973,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M03,2007,8174,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M02,2007,8214,Vivienda,Unidad,0,0,0
Compraventa,Total,General,M01,2007,7978,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M10,2020,1516,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M09,2020,1930,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M08,2020,1350,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M07,2020,1161,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M06,2020,923,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M05,2020,858,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M04,2020,846,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M03,2020,1035,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M02,2020,1516,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M01,2020,1514,Vivienda,Unidad,0,0,0
Compraventa,Estado de la vivienda,Vivienda nueva,M12,2019,1180,Vivienda,Unidad,0,0,0
